4956,1002,4,1,8,715
4957,1002,5,1,10,823
4958,1007,0,1,3,232
4959,1007,1,1,4,350
6634,1007,2,1,9,728
4960,1007,3,1,4,272
1390,1010,0,8257537,2,204
1610,1010,1,8257537,3,261
1918,1010,2,8257537,3,290
2525,1010,3,8257537,3,259
2693,1010,4,8257537,4,321
4961,1007,4,1,5,351
766,1013,0,8257537,3,270
1926,1013,1,8257537,4,330
1956,1013,2,8257537,4,362
6635,1007,5,1,8,772
2506,1013,3,8257537,3,288
2890,1013,4,8257537,5,363
1114,1015,0,8257537,3,250
843,1015,1,8257537,3,255
1914,1015,2,8257537,5,333
2639,1015,3,8257537,3,283
2680,1015,4,8257537,4,293
1972,1015,5,8257537,7,364
455,1017,0,8257537,2,185
2038,1017,1,8257537,3,201
454,1017,2,8257537,9,556
2167,1017,3,8257537,3,186
2845,1017,4,8257537,4,201
2891,1017,5,8257537,9,624
936,1019,0,8257537,1,98
1788,1019,1,8257537,3,122
1966,1019,3,8257537,2,119
2519,1019,4,8257537,3,122
773,1020,0,8257537,5,280
2569,1020,1,8257537,6,376
1957,1020,2,8257537,8,562
1965,1020,3,8257537,3,280
2892,1020,4,8257537,6,406
2043,1020,5,8257537,9,581
2041,2000,0,8257537,4,360
2582,2000,1,8257537,6,514
2391,2000,2,8257537,7,584
2893,2000,3,8257537,4,444
1998,2000,4,8257537,6,514
2876,2000,5,8257537,7,585
841,2002,0,8257537,2,216
1483,2002,1,8257537,3,235
2137,2002,3,8257537,2,224
2514,2002,4,8257537,3,237
815,2003,0,8257537,3,374
2485,2003,1,8257537,5,542
1467,2003,2,8257537,6,573
2682,2003,3,8257537,4,374
2894,2003,4,8257537,8,597
2081,2005,0,8257537,4,390
2493,2005,1,8257537,5,483
790,2005,2,8257537,6,537
2895,2005,3,8257537,6,469
2896,2005,4,8257537,9,569
844,2006,0,8257537,2,272
938,2006,1,8257537,3,326
2389,2006,2,8257537,3,348
1875,2006,3,8257537,1,205
2213,2006,4,8257537,2,270
1851,2008,0,8257537,3,442
2494,2008,1,8257537,5,569
1910,2008,2,8257537,8,617
2897,2008,3,8257537,5,455
2898,2008,4,8257537,8,617
4962,1011,0,1,5,450
4963,1011,1,1,6,469
2017,2012,0,8257537,3,254
5073,2011,0,1,3,329
5074,2011,1,1,4,414
5075,2011,2,1,5,469
5076,2011,3,1,4,372
5077,2011,4,1,6,469
1789,2012,1,8257537,4,313
4964,1011,2,1,7,501
4965,1011,3,1,4,445
2390,2012,2,8257537,4,324
4966,1011,4,1,8,506
4967,1011,5,1,11,590
2655,2012,3,8257537,3,254
4968,1012,0,1,3,203
4969,1012,1,1,4,234
4970,1012,2,1,4,254
4971,1012,3,1,3,214
4972,1012,4,1,4,254
2899,2012,4,8257537,5,311
4973,1012,5,1,4,254
4974,1016,0,1,2,251
1849,2016,0,8257537,3,291
4975,1016,1,1,3,303
